Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,year-mean,min,max,min-day,max-day
1979,27.746,30.207,32.071,32.957,32.274,29.722,23.556,18.359,16.910,17.880,20.165,23.252,25.39096,16.855,33.035,264,115
1980,26.577,29.194,31.155,32.244,31.790,29.081,22.762,17.740,16.319,17.346,19.467,22.498,24.64841,16.139,32.385,252,112
1981,25.360,27.808,29.845,30.750,30.009,26.738,20.064,14.577,12.813,13.990,16.184,19.164,22.23686,12.589,30.848,252,109
1982,22.686,25.525,27.686,28.978,28.279,25.549,19.565,14.790,13.510,14.949,17.814,21.118,21.67545,13.395,29.146,253,111
1983,24.506,27.322,29.412,30.397,30.156,27.692,21.754,16.686,15.201,16.459,18.997,22.011,23.35375,15.077,30.569,256,121
1984,24.772,27.248,29.180,30.339,29.796,27.022,20.840,16.104,14.634,15.691,18.142,21.342,22.89453,14.480,30.438,254,111
1985,24.689,27.302,29.485,30.878,30.497,27.408,20.663,15.970,14.584,15.870,18.330,21.333,23.05238,14.475,31.088,260,121
1986,24.731,27.559,29.803,30.943,30.437,27.793,21.857,17.249,16.080,17.411,19.898,22.787,23.85088,15.935,31.084,255,115
1987,26.075,28.877,30.689,31.801,31.486,28.741,22.163,16.657,15.361,16.734,19.299,22.347,24.15155,15.176,31.957,257,111
1988,25.518,28.173,30.310,31.202,30.188,27.156,21.000,16.284,14.988,16.280,18.970,22.175,23.48710,14.853,31.324,253,105
1989,25.413,27.871,29.444,30.116,29.604,27.054,20.975,16.152,14.769,15.977,18.700,21.844,23.12670,14.649,30.181,255,107
1990,25.013,27.673,29.412,29.908,28.875,25.418,19.419,14.846,13.818,15.255,18.308,21.572,22.42347,13.679,30.005,256,106
1991,24.734,27.522,29.694,30.747,29.981,26.709,19.910,14.958,13.595,15.053,17.733,20.946,22.59635,13.476,30.817,260,104
1992,24.233,26.942,28.704,29.651,29.242,26.784,20.796,15.875,15.086,16.614,19.203,22.376,22.92922,14.864,29.778,253,112
1993,25.343,27.754,29.487,30.435,29.544,25.714,18.398,13.438,12.450,14.001,17.032,20.454,21.96332,12.234,30.544,252,114
1994,23.903,26.714,28.742,29.741,29.296,26.473,19.927,14.849,13.864,15.227,17.989,21.260,22.29960,13.611,29.854,249,107
1995,24.241,26.461,27.976,28.442,27.282,23.724,17.087,12.395,11.235,12.158,14.883,18.233,20.30129,11.185,28.572,269, 92
1996,21.698,24.511,26.416,27.454,27.240,24.803,19.187,14.857,13.959,15.423,17.431,20.202,21.07255,13.715,27.640,253,117
1997,23.546,26.355,28.345,29.376,28.722,25.637,19.141,14.339,13.230,14.226,16.661,19.970,21.59444,13.178,29.476,252,105
1998,23.524,26.395,28.327,29.418,28.797,25.275,18.470,13.235,11.623,12.848,15.689,19.004,21.01250,11.512,29.525,265,115
1999,22.479,25.363,27.328,28.458,27.902,24.804,18.414,13.018,11.044,12.473,15.422,18.444,20.39396,10.916,28.545,258,104
2000,21.761,24.334,26.199,27.161,26.669,23.807,17.324,12.378,11.087,12.346,14.945,17.999,19.63368,10.954,27.296,252,114
2001,21.311,24.170,26.444,27.641,26.844,23.755,17.809,13.357,12.274,13.353,15.803,18.651,20.08710,12.179,27.753,260,109
2002,21.889,24.834,26.678,27.434,26.801,23.604,17.062,12.082,10.846,11.920,14.635,17.894,19.60292,10.792,27.538,260,110
2003,21.286,24.171,26.338,27.247,26.240,22.835,16.380,11.456,10.284,11.233,13.730,16.898,18.97099,10.240,27.319,253,105
2004,20.096,22.698,24.838,25.756,25.290,22.633,16.479,11.465,10.040,11.279,14.013,17.289,18.45923, 9.881,25.811,254,115
2005,20.296,22.707,24.851,26.052,25.325,21.532,15.129,10.668, 9.280,10.209,12.892,16.036,17.88052, 9.159,26.181,263,113
2006,19.356,22.075,24.081,25.110,24.310,20.821,14.601,10.366, 9.108, 9.838,12.303,15.085,17.21948, 8.993,25.191,265,105
2007,18.377,20.863,23.031,23.764,23.078,19.110,12.038, 7.582, 6.528, 7.135,10.472,14.238,15.48000, 6.458,23.865,262, 98
2008,18.580,21.579,23.863,24.995,24.102,20.498,14.061, 9.154, 7.246, 8.309,11.759,15.197,16.57648, 7.072,25.159,262,108
2009,18.852,21.729,23.827,24.957,23.851,19.649,12.733, 8.235, 6.923, 7.664,10.813,14.242,16.08278, 6.839,25.074,255,103
2010,17.723,20.631,23.121,24.103,22.181,17.044,10.153, 5.888, 4.748, 6.237, 9.535,12.984,14.48616, 4.582,24.275,258,100
2011,16.261,19.370,21.421,22.510,21.108,16.403, 9.457, 5.453, 4.484, 5.754, 9.316,13.052,13.67533, 4.302,22.677,253,109
2012,16.945,19.630,21.964,23.130,21.677,15.896, 9.177, 4.923, 3.789, 5.036, 8.276,12.195,13.51190, 3.673,23.365,261,114
2013,15.862,19.376,22.001,23.131,21.839,17.447,10.446, 6.361, 5.483, 6.996,10.130,13.850,14.37340, 5.392,23.332,257,112
2014,17.460,19.887,21.838,22.946,21.878,17.600,11.880, 8.114, 6.975, 8.201,11.541,15.130,15.25534, 6.812,23.118,261,105
2015,18.502,21.508,23.244,24.239,23.000,18.467,11.550, 7.047, 5.854, 7.052,10.354,14.061,15.36376, 5.684,24.394,255,111
2016,17.234,19.633,21.559,22.472,20.993,16.408,10.169, 5.897, 4.533, 5.537, 7.882,11.266,13.59145, 4.402,22.715,250,112
2017,14.696,17.414,19.617,20.678,19.810,15.328,    NA,    NA,    NA,    NA,    NA,    NA,      NA,12.164,20.783,181,108
